program: 	particles picked with ApTiltPicker
DATA image2name: rawu048b.jpg
DATA image1name: rawu049b.jpg
DATA filetype: text
DATA savetime: Mon Jan 19 17:12:19 2009 PDT
date: 	Mon Jan 19 17:12:19 2009 PDTf
theta:	49.90947
gamma:	-77.14274
phi:  	-77.81210
shiftx:  	1.80936
shifty:  	-2.28049
image 1: 	rawu049b.jpg
984,788, 982.4,791.2,  3.627, 
334,216, 335.2,208.5,  7.560, 
1130,212, 1134.8,211.5,  4.845, 
834,1086, 832.9,1080.8,  5.318, 
524,1442, 523.6,1443.6,  1.692, 
50,492, 55.0,490.4,  5.281, 
48,918, 51.2,919.7,  3.627, 
70,1228, 74.3,1234.5,  7.779, 
1502,1368, 1505.2,1370.1,  3.824, 
1142,1308, 1144.7,1302.5,  6.114, 
1460,468, 1458.7,462.0,  6.144, 
380,450, 379.2,441.2,  8.796, 
1220,34, 1220.6,34.8,  1.034, 
568,740, 567.9,737.9,  2.055, 
668,676, 671.3,672.5,  4.815, 
774,660, 770.0,658.0,  4.433, 
840,760, 844.1,761.4,  4.307, 
492,566, 493.3,564.9,  1.700, 
800,356, 798.7,355.9,  1.333, 
428,1052, 428.1,1049.9,  2.072, 
262,546, 260.0,544.0,  2.863, 
312,1360, 318.6,1359.8,  6.615, 
1246,578, 1244.7,576.7,  1.825, 
1248,668, 1250.8,668.3,  2.825, 
1026,268, 1028.9,270.5,  3.840, 
948,1058, 945.4,1058.9,  2.803, 
828,54, 829.5,57.2,  3.528, 
744,36, 745.0,40.2,  4.367, 
476,102, 476.8,105.7,  3.746, 
448,1148, 450.8,1146.7,  3.108, 
568,1156, 561.6,1160.9,  8.073, 
724,1200, 722.9,1199.8,  1.126, 
878,1180, 880.5,1183.8,  4.521, 
728,1420, 723.6,1424.0,  5.891, 
1448,1526, 1446.5,1526.0,  1.520, 
1392,1182, 1390.6,1176.7,  5.464, 
1262,1032, 1260.5,1026.8,  5.396, 
1302,1124, 1299.3,1119.6,  5.188, 
1192,1146, 1188.9,1141.7,  5.301, 
1094,1084, 1095.5,1084.3,  1.574, 
1168,1030, 1167.2,1029.9,  0.828, 
1432,248, 1430.7,255.6,  7.675, 
1176,844, 1173.2,846.1,  3.483, 
1380,720, 1376.2,717.8,  4.445, 
1290,272, 1289.5,273.7,  1.802, 
1182,342, 1182.2,341.7,  0.376, 
636,498, 631.4,500.9,  5.448, 
420,322, 422.2,322.6,  2.252, 
498,310, 498.5,308.2,  1.827, 
290,653, 292.5,649.6,  4.244, 
324,736, 324.6,733.9,  2.174, 
304,854, 303.2,855.3,  1.507, 
246,805, 248.7,801.3,  4.560, 
42,583, 44.8,581.4,  3.263, 
111,678, 109.0,674.4,  4.106, 
126,761, 125.0,761.2,  1.018, 
253,1113, 249.5,1117.8,  5.907, 
289,1059, 285.5,1061.9,  4.548, 
356,1161, 360.1,1159.3,  4.479, 
360,1243, 360.7,1244.1,  1.302, 
292,1263, 293.7,1261.2,  2.481, 
133,1067, 132.4,1069.4,  2.499, 
131,1163, 130.3,1160.0,  3.104, 
194,1202, 193.3,1204.4,  2.500, 
185,1281, 188.3,1282.5,  3.649, 
40,1145, 40.9,1145.4,  0.962, 
181,1039, 182.4,1041.0,  2.454, 
567,1345, 567.8,1344.9,  0.825, 
453,908, 450.2,909.0,  2.985, 
76,730, 73.3,733.4,  4.319, 
97,297, 95.6,291.2,  5.919, 
72,197, 74.7,191.7,  5.964, 
160,378, 160.1,373.7,  4.294, 
